filename,en,fr,de,es,ru,label,en-de,en-es,en-fr,en-ru
007fake.txt,Jennifer Aniston on the Exact Moment She Had It With the Pregnancy Rumors,Jennifer Aniston au moment exact où elle a eu avec les rumeurs de grossesse.,"Jennifer Aniston in dem Moment, in dem sie es mit den Schwangerschaftsgerüchten hatte.",Jennifer Aniston en el momento exacto que lo tuvo con los rumores de embarazo.,"Дженнифер Энистон в тот момент, когда у нее есть слухи о беременности.",1,0.7408915758132935,0.7318493723869324,0.6617593169212341,0.6845553517341614
022fake.txt,Taylor Swift 'files documents to launch streaming service',Taylor Swift «Documents de fichiers pour lancer le service de streaming».,"Taylor Swift 'Dateien dokumentiert, um den Streaming -Dienst zu starten'.",Taylor Swift 'archiva documentos para iniciar el servicio de transmisión'.,Taylor Swift 'Files Documents для запуска потоковой службы'.,1,0.4577953815460205,0.0,0.7083974480628967,0.7495388984680176
009fake.txt,Miley Cyrus Wedding Rumors: Will Miley Force Liam Hemsworth To Sign A Prenup?,Miley Cyrus Rumeurs de mariage: Miley forcera-t-elle Liam Hemsworth à signer un contrat de contrat?.,"Miley Cyrus Hochzeitsgerüchte: Wird Miley Liam Hemsworth dazu zwingen, ein Prenup zu unterschreiben?.",Rumores de boda de Miley Cyrus: ¿Miley forzará a Liam Hemsworth firmar un prenupc?.,Свадебные слухи Майли Сайрус: Сможет ли Майли Форс Лиам Хемсворт подписать премьер?.,1,0.769287109375,0.5929645895957947,0.7557569146156311,0.6903853416442871
024fake.txt,Justin Bieber pokes fun at himself after stepping out with an wet mark,Justin Bieber se moque de lui-même après avoir quitté une marque humide.,"Justin Bieber macht sich lustig an sich, nachdem er mit einer nassen Marke ausgetreten ist.",Justin Bieber se burla de sí mismo después de salir con una marca húmeda.,"Джастин Бибер высмеивает себя после того, как вышел с влажной отметки.",1,0.0,0.600772500038147,0.592193603515625,0.6267604827880859
002fake.txt,Brad Pitt Texts Jennifer Aniston Nonstop: Seeks Intense Emotional Support After Angelina Jolie Divorce! | Celeb Dirty Laundry,Brad Pitt envoie des SMS à Jennifer Aniston sans escale: cherche un soutien émotionnel intense après le divorce d'Angelina Jolie! | Laverie sale de célébrité.,Brad Pitt Texte Jennifer Aniston Nonstop: sucht intensive emotionale Unterstützung nach der Scheidung von Angelina Jolie! | Promi Dirty Wäsche.,Brad Pitt texts Jennifer Aniston Nonstop: ¡busca un intenso apoyo emocional después de Angelina Jolie Divorce! | Celeb Dirty Laundry.,Брэд Питт текстов Дженнифер Энистон Неустановка: ищет интенсивную эмоциональную поддержку после развода Анджелины Джоли! | Знаменитость грязное прачечная.,1,0.6701048016548157,0.5596179962158203,0.655587911605835,0.6701937913894653
014fake.txt,Kanye West -- 'Nervous Breakdown',KANYE WEST - «Débarquement nerveux».,Kanye West - 'Nervenzusammenbruch'.,Kanye West - 'Guponado nervioso'.,Канье Уэст - «нервный срыв».,1,0.7621966004371643,0.7382571697235107,0.699174165725708,0.750946044921875
021fake.txt,Are Taylor Swift and Jake Gyllenhaal Dating Again?,Taylor Swift et Jake Gyllenhaal se dressent à nouveau?.,Sind Taylor Swift und Jake Gyllenhaal wieder zusammen?.,¿Taylor Swift y Jake Gyllenhaal salen de nuevo?.,Тейлор Свифт и Джейк Джилленхал снова встречаются?.,1,0.701033353805542,0.6903477311134338,0.6967248320579529,0.6592447757720947
013fake.txt,Kanye West Wants to Enter Cosmetics Business Like Kylie,Kanye West veut entrer dans le secteur des cosmétiques comme Kylie.,Kanye West will wie Kylie Kosmetikgeschäft betreten.,Kanye West quiere ingresar a un negocio de cosméticos como Kylie.,"Канье Уэст хочет войти в косметический бизнес, как Кайли.",1,0.650236964225769,0.742186427116394,0.6821660399436951,0.701682448387146
010fake.txt,Kristen Stewart Drops 'Twilight' Movie Plans With Robert Pattinson: Lands New Role In 'Underwater' Thriller | Celeb Dirty Laundry,Kristen Stewart laisse tomber les plans de films «Twilight» avec Robert Pattinson: Lands nouveau rôle dans le thriller «Underwater» | Laverie sale de célébrité.,Kristen Stewart Drops 'Twilight' Filmpläne mit Robert Pattinson: Lands neue Rolle in 'Underwater' Thriller | Promi Dirty Wäsche.,Kristen Stewart presenta planes de películas 'Crepúsculo' con Robert Pattinson: Tierra un nuevo papel en el thriller 'submarino' | Celeb Dirty Laundry.,Кристен Стюарт бросает планы фильмов «Сумерки» с Робертом Паттинсоном: приземляется новая роль в «подводном» триллере | Знаменитость грязное прачечная.,1,0.6406971216201782,0.6508745551109314,0.6644302606582642,0.6425639986991882
012fake.txt,Kanye West Was Designing Looks For Melania Trump On Inauguration Day Before Breakdown,Kanye West concevait Looks pour Melania Trump le jour de l'inauguration avant la panne.,Kanye West suchte nach Melania Trump am Einweihungstag vor dem Zusammenbruch.,Kanye West estaba diseñando Looks para Melania Trump el día de la inauguración antes del desglose.,Канье Уэст разрабатывал поиски Мелании Трамп в день инаугурации перед сбоем.,1,0.6014999151229858,0.6215912699699402,0.0,0.0
